customer_id,buyer_business_type,district_id,district_name_ar,city_name_en,area_name_ar,geo_latitude,geo_longitude,registration_date,avg_ticket_size,number_of_transactions,number_of_cancelled_transactions,last_order_date,total_orders_amount
47,اخري,100123,الهرم,Giza,الهرم,29.99344,31.15219,2020-07-06,523.7866666666666,3,3,2020-11-12,1571.36
634,كشك,100140,مصر القديمة,Cairo,مصر القديمة,NA,NA,2020-01-20,2665.5516666666667,6,4,2020-08-07,15993.31
841,اخري,100128,المعادي,Cairo,NA,NA,NA,2020-01-23,1459.3749999999998,6,2,2020-12-15,8756.249999999998
863,اخري,100128,المعادي,Cairo,المعادي,NA,NA,2020-01-23,NA,NA,NA,NA,NA
986,اخري,100125,حلوان,Cairo,المعصرة,29.84495,31.33025,2020-01-27,5618.27,1,1,2020-06-14,5618.27
1008,كشك,100128,المعادي,Cairo,المعادي,NA,NA,2020-01-28,NA,NA,NA,NA,NA
1068,اخري,100125,حلوان,Cairo,حدايق حلوان,NA,NA,2020-01-21,1989.7833333333333,18,11,2021-03-01,35816.1
1119,اخري,100128,المعادي,Cairo,المعادي,NA,NA,2020-01-22,NA,NA,NA,NA,NA
1492,اخري,100206,المريوطيه - فيصل,Giza,المريوطيه - فيصل,NA,NA,2020-01-28,5664.99,5,1,2021-03-06,28324.949999999997
1516,اخري,100000,Others,Cairo,Others,NA,NA,2020-01-28,NA,NA,NA,NA,NA
2044,اخري,100128,المعادي,Cairo,المعادي,29.9757,31.2397,2020-01-30,NA,NA,NA,NA,NA
2049,اخري,100000,Others,Cairo,Others,NA,NA,2020-01-30,NA,NA,NA,NA,NA
2183,اخري,100128,المعادي,Cairo,حدائق المعادي,NA,NA,2020-02-02,819.28,1,0,2020-11-03,819.28
2229,كشك,100193,مصر الجديدة,Cairo,مصر الجديدة,NA,NA,2020-02-02,NA,NA,NA,NA,NA
2454,سوبر ماركت,100202,جسر السويس,Cairo,جسر السويس,30.13423,31.36224,2020-02-04,3183.55,1,1,2020-04-08,3183.55
2566,كشك,100134,مدينه نصر,Cairo,مدينه نصر,NA,NA,2020-02-04,2243.595,2,0,2021-02-07,4487.19
